id,date,Minneapolis
878,11/7/12,75
879,11/7/12,70
880,11/7/12,65
881,11/7/12,70
882,11/7/12,75
883,11/7/12,75
884,11/7/12,93
885,11/7/12,100
886,11/7/12,93
887,11/7/12,93
888,11/7/12,86
889,11/7/12,93
890,11/7/12,100
891,11/7/12,100
892,11/7/12,80
893,11/7/12,81
894,11/7/12,75
895,11/7/12,65
896,11/7/12,70
897,11/7/12,75
898,11/7/12,75
899,11/7/12,86
900,11/7/12,80
901,11/8/12,75
902,11/8/12,
903,11/8/12,
904,11/8/12,
905,11/8/12,
906,11/8/12,80
907,11/8/12,80
908,11/8/12,86
909,11/8/12,86
910,11/8/12,86
911,11/8/12,86
912,11/8/12,86
913,11/8/12,86
914,11/8/12,86
915,11/8/12,80
916,11/8/12,80
917,11/8/12,75
918,11/8/12,75
919,11/8/12,70
920,11/8/12,65
921,11/8/12,
922,11/8/12,65
923,11/8/12,56
924,11/8/12,56
925,11/9/12,
926,11/9/12,75
927,11/9/12,70
928,11/9/12,
929,11/9/12,69
930,11/9/12,
931,11/9/12,74
932,11/9/12,74
933,11/9/12,74
934,11/9/12,74
935,11/9/12,74
936,11/9/12,74
937,11/9/12,86
938,11/9/12,86
939,11/9/12,
940,11/9/12,
941,11/9/12,75
942,11/9/12,
943,11/9/12,65
944,11/9/12,50
945,11/9/12,53
946,11/9/12,50
947,11/9/12,50
948,11/9/12,57
949,11/10/12,61
950,11/10/12,70
951,11/10/12,70
952,11/10/12,75
953,11/10/12,75
954,11/10/12,70
955,11/10/12,80
956,11/10/12,86
957,11/10/12,86
958,11/10/12,86
959,11/10/12,86
960,11/10/12,93
961,11/10/12,93
962,11/10/12,93
963,11/10/12,86
964,11/10/12,86
965,11/10/12,75
966,11/10/12,66
967,11/10/12,57
968,11/10/12,54
969,11/10/12,50
970,11/10/12,70
971,11/10/12,75
972,11/10/12,61
973,11/11/12,66
974,11/11/12,70
975,11/11/12,70
976,11/11/12,70
977,11/11/12,70
978,11/11/12,70
979,11/11/12,81
980,11/11/12,87
981,11/11/12,87
982,11/11/12,87
983,11/11/12,93
984,11/11/12,93
985,11/11/12,100
986,11/11/12,100
987,11/11/12,93
988,11/11/12,87
989,11/11/12,100
990,11/11/12,93
991,11/11/12,87
992,11/11/12,87
993,11/11/12,77
994,11/11/12,64
995,11/11/12,60
996,11/11/12,68
997,11/12/12,72
998,11/12/12,63
999,11/12/12,63
1000,11/12/12,
1001,11/12/12,47
1002,11/12/12,94
1003,11/12/12,94
1004,11/12/12,89
1005,11/12/12,89
1006,11/12/12,89
1007,11/12/12,89
1008,11/12/12,89
1009,11/12/12,89
1010,11/12/12,70
1011,11/12/12,70
1012,11/12/12,70
1013,11/12/12,
1014,11/12/12,
1015,11/12/12,86
1016,11/12/12,
1017,11/12/12,80
1018,11/12/12,79
1019,11/12/12,68
1020,11/12/12,73
1021,11/13/12,68
1022,11/13/12,63
1023,11/13/12,58
1024,11/13/12,68
1025,11/13/12,68
1026,11/13/12,73
1027,11/13/12,62
1028,11/13/12,62
1029,11/13/12,67
1030,11/13/12,67
1031,11/13/12,67
1032,11/13/12,73
1033,11/13/12,73
1034,11/13/12,79
1035,11/13/12,85
1036,11/13/12,73
1037,11/13/12,58
1038,11/13/12,62
1039,11/13/12,58
1040,11/13/12,62
1041,11/13/12,62
1042,11/13/12,58
1043,11/13/12,62
1044,11/13/12,63
1045,11/14/12,68
1046,11/14/12,68
1047,11/14/12,79
1048,11/14/12,73
1049,11/14/12,85
1050,11/14/12,79
1051,11/14/12,79
1052,11/14/12,85
1053,11/14/12,85
1054,11/14/12,85
1055,11/14/12,79
1056,11/14/12,79
1057,11/14/12,79
1058,11/14/12,79
1059,11/14/12,85
1060,11/14/12,73
1061,11/14/12,63
1062,11/14/12,
1063,11/14/12,59
1064,11/14/12,51
1065,11/14/12,48
1066,11/14/12,38
1067,11/14/12,44
1068,11/14/12,52
1069,11/15/12,64
1070,11/15/12,64
1071,11/15/12,64
1072,11/15/12,69
1073,11/15/12,64
1074,11/15/12,64
1075,11/15/12,64
1076,11/15/12,64
1077,11/15/12,64
1078,11/15/12,64
1079,11/15/12,74
1080,11/15/12,74
1081,11/15/12,74
1082,11/15/12,74
1083,11/15/12,80
1084,11/15/12,74
1085,11/15/12,69
1086,11/15/12,
1087,11/15/12,
1088,11/15/12,43
1089,11/15/12,40
1090,11/15/12,43
1091,11/15/12,43
1092,11/15/12,52
1093,11/16/12,52
1094,11/16/12,60
1095,11/16/12,60
1096,11/16/12,
1097,11/16/12,34
1098,11/16/12,69
1099,11/16/12,69
1100,11/16/12,92
1101,11/16/12,92
1102,11/16/12,92
1103,11/16/12,92
1104,11/16/12,92
1105,11/16/12,92
1106,11/16/12,90
1107,11/16/12,90
